id,size,color,source,target
"Донков, Калін",0,#E59247,German,"Рот, Йозеф"
"Донков, Славчо",0,#E59247,1970 - 1980,Austria
"Драганов, Николай",0,#E59247,Austria,German
"Євтимов, Євтим",0,#E59247,German,"Тракль, Георг"
"Єленков, Лучезар",0,#E59247,1990 - 2000,Austria
"Жеков, Васко",0,#E59247,Austria,German
"Жотев, Добрі",0,#E59247,German,"Фрід, Еріх"
"Зцдаров(3идар), Никола",0,#E59247,1990 - 2000,Austria
"Ісаєв, Младен",0,#E59247,Austria,German
"Ісаєва, Людмила",0,#E59247,German,"Фрітш, Гергарт"
"Йовков, Йордан",0,#E59247,1960 - 1970,Austria
"Каляев, Камен",0,#E59247,Austria,German
"Каралійчев, Ангел",0,#E59247,German,"Фуссенегер, Гертруда"
"Карасимеонов, Александр",0,#E59247,1930 - 1940,Austria
"Караславов, Георгій",0,#E59247,Austria,-
"Караславов, Слав Христов",0,#E59247,-,"Хайду, Юліус"
"Константинов, Георгій",0,#E59247,1980 - 1990,Austria
Old Church Slavonic,3,#D1605E,Austria,German
"Костянтин-Кирил, або ж Преславський",0,#E59247,German,"Цвейг, Стефан"
"Лазаров, Дончо",0,#E59247,1960 - 1970,Austria
"Левчев, Любомир",0,#E59247,Austria,German
"Левчева, Лена",0,#E59247,German,"Цвейг, Стефан"
Лілянов Ст,0,#E59247,1970 - 1980,Austria
"Люцканова, Весела",0,#E59247,Austria,German
"Мандаджієв, Атанас",0,#E59247,German,"Целан, Пауль"
"Манов, Еміл",0,#E59247,1920 - 1930,Austria
"Марангозов, Николай",0,#E59247,Austria,German
"Марков, Георгі",0,#E59247,German,"Цур Мюлен, Гермінія"
"Матев, Павел",0,#E59247,1920 - 1930,Austria
"Методієв, Димитр",0,#E59247,Austria,German
"Миланов, Александр",0,#E59247,German,"Цур Мюлен, Гермінія"
"Миланов, Димитр",0,#E59247,1920 - 1930,Austria
"Милев(Мілев), Йордан",0,#E59247,Austria,German
"Минков, Светослав",0,#E59247,German,"Цур Мюлен, Гермінія"
"Михайлова, Ліляна",0,#E59247,1990 - 2000,Austria
"Михайловський, Стоян",0,#E59247,Austria,German
"Орлинов, Орлин",0,#E59247,German,"Яндль, Ернст"
"Павурджієв, Васил",0,#E59247,1990 - 2000,Austria
"Паунов, Борис",0,#E59247,Austria,German
"Пенев, Крум",0,#E59247,German,"Яндль, Ернст"
"Пенев, ???",0,#E59247,1960 - 1970,Albania
"Петков, Любен",0,#E59247,Albania,Albanian
"Петров, Ангел",0,#E59247,Albanian,"Буджелі, Каміль"
"Петров, Валері",0,#E59247,1960 - 1970,Albania
"Петров, Івайло",0,#E59247,Albania,Albanian
"Попов, Васил",0,#E59247,Albanian,"Буджелі, Каміль"
"Попов, Йордан",0,#E59247,1960 - 1970,Albania
"Радевський, Христо",0,#E59247,Albania,Albanian
"Радичков(Радічков), Йордан",0,#E59247,Albanian,"Д’ята, Фатмір"
"Разцветников, Асен",0,#E59247,1960 - 1970,Albania
"Райнов, Богомил",0,#E59247,Albania,-
"Раковський, Витьо",0,#E59247,-,"Щощ, А"
"Ралін, Радой",0,#E59247,1960 - 1970,Albania
"Северняк, Серафим",0,#E59247,Albania,-
"Славейков, Петко",0,#E59247,-,"Щощ, А"
"Славчев, Светослав",0,#E59247,1960 - 1970,Albania
"Смирненський, Христо",0,#E59247,Albania,-
"Спасов, Павел",0,#E59247,-,"Щощ, А"
"Станев, Еміліан",0,#E59247,1970 - 1980,Algeria
"Станев, Любен",0,#E59247,Algeria,French
"Стефанов, Димитр",0,#E59247,French,"Амруш, Жан"
"Стефанов, Пирван",0,#E59247,1970 - 1980,Algeria
"Стефанова, Ліляна",0,#E59247,Algeria,French
"Сгоєв, Генчо",0,#E59247,French,"Ашур, Мулуд"
"Стоянов, Людмил",0,#E59247,1970 - 1980,Algeria
"Тихолов, Георгі",0,#E59247,Algeria,French
"Тодоров, Ангел",0,#E59247,French,"Булануар, Мессаур"
"Траянов, Христо",0,#E59247,1980 - 1990,Algeria
"Узунов, Генчо",0,#E59247,Algeria,Arabic
"Фурнаджієв, Никола",0,#E59247,Arabic,"Ваттар, Ат-Тахір"
"Фучеджієв, Дико",0,#E59247,1980 - 1990,Algeria
"Хайтов, Николай",0,#E59247,Algeria,Arabic
"Ханчев, Веселин",0,#E59247,Arabic,"Ваттар, Ат-Тахір"
"Харманджієв, Тодор",0,#E59247,1980 - 1990,Algeria
"Хинкова, Василка",0,#E59247,Algeria,Arabic
"Христев, Павел",0,#E59247,Arabic,"Ваттар, Ат-Тахір"
"Христозов, Николай",0,#E59247,1980 - 1990,Algeria
"Цанев, Іван",0,#E59247,Algeria,French
"Цветанов, Богдан",0,#E59247,French,"Грекі, Анна"
"Цонев, Василь",0,#E59247,1970 - 1980,Algeria
"Цончев, Донго",0,#E59247,Algeria,French
"Чавдаров-Челкаш, Димитр",0,#E59247,French,"Джаут, Тагар"
"Шопкін, Матей",0,#E59247,1970 - 1980,Algeria
Bolivia,4,#F2A2A11,Algeria,French
"Лара, Хесус",0,#E59247,French,"Діб, Мохаммед"
"Рус, Жан",0,#E59247,1970 - 1980,Algeria
"Суарес, Хорхе",0,#E59247,Algeria,French
Brazil,25,#F2A2A11,French,"Єллес, Мурад"
"Амаду, Жоржі",0,#E59247,1970 - 1980,Algeria
"Безерра, Жуан Клімаку",0,#E59247,Algeria,French
"Верісіму, Еріку",0,#E59247,French,"Креа, Анрі"
"Гімарайнш, Бернардо",0,#E59247,1970 - 1980,Algeria
"Гімарайніп Роза, Жуан",0,#E59247,Algeria,-
"Кампуш, Морейра",0,#E59247,-,"Саадалла, Абу аль-Касим"
"Кастро Алвіс, Антоніу",0,#E59247,1950 - 1960,Algeria
"Колодій, Гелена",0,#E59247,Algeria,Arabic
"Лішпектор, Кларіс",0,#E59247,Arabic,"Салех Алжірський, Абу Абдаллаг"
"Марія де Жезус, Кароліна",0,#E59247,1970 - 1980,Algeria
Машадо де Ассіс,0,#E59247,Algeria,French
"Фігейреду, Гільєрме",0,#E59247,French,"Сенак, Жан"
Venezuela,6,#F2A2A11,1970 - 1980,Algeria
"Габальдон, Архіміро",0,#E59247,Algeria,French
"Грамко, Їда",0,#E59247,French,"Фелах, Салах"
"Леон, Карлос Августе",0,#E59247,1950 - 1960,Algeria
"Росалес, Хуліо",0,#E59247,Algeria,Arabic
"Услар П’єтрі, Артуро",0,#E59247,Arabic,"Аль-Харфі, Салех ібн-Салех"
Great Britain. English Literature,232,#F2A2A11,1970 - 1980,Algeria
"Адамс, Дуглас",0,#E59247,Algeria,French
"Армстронг, Дж",0,#E59247,French,"Шаїб, Мохаммед"
"Байрон, Джордж Гордон",0,#E59247,1970 - 1980,Angola
"Баллард, Джеймс Г",0,#E59247,Angola,Portuguese
"Бейтс, Герберт Ернест",0,#E59247,Portuguese,"Андраді, Кошта"
"Берджес, Ентоні",0,#E59247,1980 - 1990,Angola
